partner_id,city_id,joined_date,vehicle_type,avg_rating,is_active,shift_type
1,5,2024-05-16,bike,4.1,True,part_time
2,9,2024-05-27,scooter,4.1,True,full_time
3,4,2024-03-19,scooter,4.3,True,full_time
4,2,2024-08-29,scooter,4.8,True,full_time
5,9,2024-05-09,scooter,4.9,True,part_time
6,1,2024-11-29,bike,4.2,True,part_time
7,2,2024-12-05,scooter,4.3,True,peak_hours_only
8,1,2024-04-05,bike,4.7,True,part_time
9,5,2024-05-19,bike,4.0,True,full_time
10,4,2024-12-05,bike,4.5,False,full_time
11,7,2024-09-08,bike,4.2,True,full_time
12,9,2024-10-29,bike,4.1,True,peak_hours_only
13,7,2024-10-20,bike,4.5,True,peak_hours_only
14,9,2024-08-07,scooter,4.2,True,peak_hours_only
15,4,2024-04-08,scooter,4.6,True,full_time
16,6,2024-05-11,scooter,3.6,True,full_time
17,8,2024-03-26,bike,4.3,True,full_time
18,5,2024-07-27,scooter,4.1,True,full_time
19,10,2024-11-14,scooter,4.1,True,peak_hours_only
20,10,2024-12-01,bike,4.2,True,part_time
21,3,2024-01-10,scooter,4.6,True,part_time
22,9,2024-01-18,scooter,4.1,True,part_time
23,4,2024-01-22,bike,4.2,True,part_time
24,9,2024-12-28,bike,4.5,True,part_time
25,2,2024-05-02,bike,4.5,True,part_time
26,2,2024-01-04,bike,4.0,True,part_time
27,8,2024-10-12,scooter,4.7,True,full_time
28,1,2024-04-10,scooter,3.6,True,part_time
29,7,2024-07-07,bike,4.6,True,peak_hours_only
30,5,2024-11-09,bike,4.7,True,full_time
31,3,2024-10-31,scooter,5.0,True,peak_hours_only
32,6,2024-08-15,scooter,4.0,True,peak_hours_only
33,8,2024-10-16,bike,4.7,True,full_time
34,4,2024-06-13,scooter,4.3,True,peak_hours_only
35,10,2024-06-04,bike,4.5,True,full_time
36,10,2024-02-12,bike,4.2,True,peak_hours_only
37,1,2024-12-26,scooter,4.4,True,peak_hours_only
38,8,2024-09-09,scooter,4.1,True,full_time
39,5,2024-10-30,scooter,4.3,True,part_time
40,7,2024-10-24,bicycle,5.0,False,full_time
41,5,2024-01-10,bike,4.3,True,peak_hours_only
42,9,2024-03-20,scooter,4.1,True,peak_hours_only
43,10,2024-08-15,bike,4.7,True,full_time
44,7,2024-10-22,bike,4.1,False,part_time
45,8,2024-10-08,bike,4.5,True,peak_hours_only
46,7,2024-08-24,scooter,4.6,True,peak_hours_only
47,3,2024-12-03,bike,4.5,True,part_time
48,1,2024-03-22,scooter,4.9,True,full_time
49,1,2024-11-11,bike,4.7,True,full_time
50,5,2024-06-11,bike,3.9,True,full_time
51,9,2024-09-04,bike,4.6,True,part_time
52,6,2024-06-13,scooter,4.0,True,full_time
53,6,2024-06-30,scooter,4.2,True,full_time
54,8,2024-05-30,scooter,4.2,True,part_time
55,2,2024-02-24,bike,4.2,True,part_time
56,1,2024-06-29,bike,4.5,True,part_time
57,9,2024-03-15,bike,4.9,True,part_time
58,9,2024-06-26,bike,3.9,True,full_time
59,3,2024-07-22,bicycle,4.6,True,full_time
60,5,2024-01-26,scooter,4.1,True,part_time
61,10,2024-06-11,scooter,4.3,True,peak_hours_only
62,7,2024-04-21,bike,4.3,True,part_time
63,9,2024-08-14,bike,4.6,True,part_time
64,8,2024-05-10,bike,4.3,True,part_time
65,7,2024-06-16,bike,4.6,True,part_time
66,6,2024-02-07,bike,4.5,True,full_time
67,6,2024-12-08,bike,4.4,True,peak_hours_only
68,5,2024-12-27,scooter,4.0,True,peak_hours_only
69,2,2024-03-26,bike,4.5,True,full_time
70,1,2024-09-17,bike,4.5,True,full_time
71,7,2024-09-16,bike,4.5,True,part_time
72,5,2024-04-11,bike,4.3,True,part_time
73,10,2024-05-25,bike,4.2,True,peak_hours_only
74,9,2024-04-10,scooter,4.3,True,part_time
75,6,2024-11-07,bike,4.2,True,part_time
76,2,2024-04-02,scooter,4.3,True,part_time
77,8,2024-06-26,scooter,3.9,True,full_time
78,1,2024-09-22,bike,4.4,True,peak_hours_only
79,5,2024-12-30,bike,4.0,True,full_time
80,7,2024-11-13,scooter,4.1,True,full_time
81,9,2024-04-03,scooter,4.1,True,full_time
82,8,2024-08-12,bike,4.0,True,full_time
83,1,2024-04-15,scooter,4.4,True,full_time
84,10,2024-06-26,bike,4.1,True,part_time
85,3,2024-10-07,bike,3.9,True,full_time
86,3,2024-03-29,bike,4.3,True,peak_hours_only
87,2,2024-08-21,bike,4.3,True,peak_hours_only
88,5,2024-07-17,scooter,3.9,True,peak_hours_only
89,3,2024-10-20,bike,4.4,True,peak_hours_only
90,4,2024-05-10,scooter,4.3,True,peak_hours_only
91,7,2024-02-15,scooter,4.3,True,part_time
92,9,2024-01-20,scooter,4.1,True,part_time
93,10,2024-05-10,scooter,4.5,True,part_time
94,5,2024-09-27,bike,4.0,True,part_time
95,2,2024-06-30,bike,4.8,True,part_time
96,8,2024-04-13,scooter,4.7,True,part_time
97,3,2024-07-06,scooter,3.4,True,full_time
98,10,2024-04-02,bike,3.7,True,peak_hours_only
99,1,2024-11-11,bike,5.0,True,part_time
100,6,2024-03-20,bike,4.2,True,part_time
101,4,2024-08-24,bike,4.8,True,full_time
102,4,2024-04-19,bike,4.3,True,full_time
103,5,2024-04-12,scooter,4.3,True,full_time
104,9,2024-11-22,bike,4.3,True,full_time
105,9,2024-02-10,bike,4.6,True,peak_hours_only
106,1,2024-06-18,bike,4.5,True,full_time
107,6,2024-04-19,scooter,4.9,True,full_time
108,9,2024-11-18,bike,4.3,True,full_time
109,1,2024-02-20,bike,4.9,True,full_time
110,4,2024-12-26,bike,4.4,True,full_time
111,6,2024-09-05,bike,4.7,True,peak_hours_only
112,6,2024-10-09,bike,4.1,True,part_time
113,2,2024-06-03,bike,4.4,True,full_time
114,5,2024-12-05,bike,3.7,True,full_time
115,7,2024-06-25,bike,4.1,True,part_time
116,9,2024-05-18,scooter,4.0,True,peak_hours_only
117,7,2024-03-20,bike,3.7,True,part_time
118,8,2024-06-05,bike,4.3,True,part_time
119,2,2024-11-07,scooter,4.8,True,peak_hours_only
120,7,2024-10-03,scooter,4.3,True,peak_hours_only
121,9,2024-04-28,scooter,4.4,True,peak_hours_only
122,3,2024-11-27,bike,4.7,True,full_time
123,10,2024-12-19,bike,4.3,True,full_time
124,9,2024-11-13,bike,4.3,True,full_time
125,5,2024-04-29,bicycle,4.1,False,peak_hours_only
126,10,2024-09-30,bike,4.2,True,full_time
127,6,2024-10-22,bike,4.8,True,part_time
128,2,2024-08-08,bike,4.0,False,peak_hours_only
129,2,2024-09-01,scooter,4.6,True,part_time
130,10,2024-11-20,scooter,4.1,True,full_time
131,6,2024-10-28,scooter,4.9,True,peak_hours_only
132,7,2024-05-13,scooter,4.5,True,full_time
133,5,2024-11-23,scooter,4.7,True,part_time
134,2,2024-09-24,scooter,4.0,True,part_time
135,6,2024-01-16,scooter,3.8,True,full_time
136,5,2024-08-18,bike,4.3,True,peak_hours_only
137,7,2024-02-23,bike,4.0,True,full_time
138,3,2024-08-18,bike,4.3,True,full_time
139,5,2024-07-04,bike,4.3,True,full_time
140,6,2024-01-12,bike,3.9,True,full_time
141,2,2024-07-28,bike,4.3,True,full_time
142,4,2024-07-01,scooter,4.2,True,peak_hours_only
143,2,2024-09-02,bike,4.3,True,part_time
144,9,2024-05-26,scooter,4.2,True,full_time
145,6,2024-02-10,bike,4.7,True,full_time
146,4,2024-11-29,bike,4.2,True,full_time
147,1,2024-03-24,scooter,4.3,True,peak_hours_only
148,10,2024-06-09,bike,4.1,True,full_time
149,6,2024-12-18,scooter,4.4,True,part_time
150,2,2024-03-19,bike,4.2,True,peak_hours_only
151,3,2024-11-08,scooter,4.4,True,full_time
152,5,2024-06-01,bike,4.5,True,part_time
153,4,2024-05-12,bike,4.2,True,full_time
154,5,2024-10-20,bike,4.6,True,full_time
155,3,2024-03-06,scooter,4.0,True,full_time
156,10,2024-07-04,bike,4.2,True,peak_hours_only
157,3,2024-05-29,scooter,4.6,True,full_time
158,9,2024-01-13,scooter,4.5,True,full_time
159,9,2024-01-12,bicycle,4.8,True,part_time
160,1,2024-11-24,bicycle,4.8,True,full_time
161,7,2024-07-28,bike,4.2,True,peak_hours_only
162,10,2024-08-21,bike,4.4,True,part_time
163,2,2024-09-12,bike,3.9,True,full_time
164,3,2024-02-07,bike,4.5,True,part_time
165,6,2024-08-28,bike,3.9,True,part_time
166,7,2024-04-16,bike,4.6,False,part_time
167,9,2024-11-23,bike,4.1,True,part_time
168,3,2024-12-19,bike,3.8,True,full_time
169,7,2024-01-20,bike,4.9,True,full_time
170,10,2024-01-17,scooter,4.6,True,full_time
