payment_id,order_id,payment_method,amount,payment_status,failure_reason,processed_at
1,1,upi,384.79,success,,2024-12-07 21:27:18
2,2,upi,366.29,success,,2024-12-26 13:05:37
3,3,upi,292.56,success,,2024-12-27 19:14:50
4,4,upi,371.21,success,,2024-11-25 20:38:05
5,5,wallet,406.39,success,,2024-12-25 20:10:54
6,6,upi,163.06,success,,2024-12-14 19:21:22
7,7,upi,274.38,success,,2024-12-02 12:08:59
8,8,upi,169.62,success,,2024-11-19 12:10:14
9,9,wallet,229.94,success,,2024-12-05 13:50:39
10,10,upi,274.45,success,,2024-12-25 19:27:47
11,11,upi,426.41,success,,2024-12-09 20:55:55
12,12,card,325.38,success,,2024-12-11 12:21:43
13,13,wallet,404.49,success,,2024-11-21 20:02:25
14,14,wallet,272.87,success,,2024-12-25 19:16:32
15,15,card,349.51,success,,2024-12-24 19:42:41
16,16,upi,340.75,failed,bank_decline,2024-12-03 19:30:20
17,17,wallet,156.15,success,,2024-03-24 20:41:09
18,18,upi,416.73,refunded,,2024-04-12 21:47:31
19,19,upi,332.23,success,,2024-03-10 20:51:53
20,20,card,303.44,success,,2024-04-09 19:41:15
21,21,upi,299.94,refunded,,2024-04-03 19:55:27
22,22,upi,463.61,success,,2024-10-27 21:42:15
23,23,upi,210.43,success,,2024-07-22 21:25:45
24,24,card,205.9,success,,2024-04-25 19:11:28
25,25,upi,446.46,success,,2024-10-20 20:13:25
26,26,card,316.24,success,,2024-05-23 19:35:56
27,27,upi,328.5,success,,2024-03-16 19:59:28
28,28,upi,234.91,success,,2024-11-09 20:26:41
29,29,upi,457.98,success,,2024-07-17 19:36:25
30,30,wallet,396.9,success,,2024-06-17 20:53:55
31,31,wallet,397.88,success,,2024-06-17 19:35:46
32,32,upi,345.35,success,,2024-07-24 19:02:09
33,33,upi,316.49,success,,2024-04-23 13:12:34
34,34,card,165.91,success,,2024-10-02 13:37:26
35,35,upi,332.71,success,,2024-06-30 12:09:16
36,36,upi,320.0,success,,2024-10-11 13:22:43
37,37,upi,251.23,success,,2024-12-15 20:24:11
38,38,upi,326.0,failed,bank_decline,2024-07-01 21:49:41
39,39,card,383.69,success,,2024-11-24 21:42:22
40,40,wallet,312.89,success,,2024-04-26 20:36:43
41,41,wallet,151.02,success,,2024-03-19 21:09:48
42,42,upi,175.4,success,,2024-05-07 19:19:46
43,43,wallet,462.2,success,,2024-07-05 13:06:11
44,44,card,242.47,success,,2024-12-05 19:49:28
45,45,card,298.72,success,,2024-02-25 13:16:35
46,46,wallet,192.13,success,,2024-04-22 19:35:28
47,47,upi,417.89,success,,2024-11-24 13:02:29
48,48,wallet,339.52,success,,2024-03-02 20:25:20
49,49,upi,172.61,success,,2024-08-05 12:08:09
50,50,upi,137.15,success,,2024-06-14 20:29:53
51,51,upi,467.4,success,,2024-09-08 19:14:33
52,52,card,269.47,success,,2024-09-24 20:07:10
53,53,upi,357.02,success,,2024-10-04 12:38:53
54,54,card,588.58,success,,2024-07-02 21:10:19
55,55,upi,142.9,success,,2024-08-06 13:47:52
56,56,card,271.4,success,,2024-06-09 21:03:33
57,57,upi,312.28,success,,2024-03-01 20:07:37
58,58,upi,230.19,success,,2024-12-23 19:01:37
59,59,card,319.29,success,,2024-10-16 19:34:27
60,60,upi,110.47,refunded,,2024-09-24 21:00:25
61,61,upi,344.48,success,,2024-09-16 21:38:14
62,62,upi,199.54,success,,2024-08-10 19:37:40
63,63,upi,417.63,success,,2024-09-23 12:58:59
64,64,upi,358.11,refunded,,2024-09-08 12:39:08
65,65,card,216.27,success,,2024-12-07 19:02:19
66,66,card,356.11,success,,2024-10-07 21:42:39
67,67,upi,470.45,refunded,,2024-08-26 21:12:48
68,68,upi,318.24,success,,2024-12-09 20:13:44
69,69,cod,346.35,success,,2024-08-25 20:33:21
70,70,upi,310.93,refunded,,2024-09-26 12:04:56
71,71,wallet,277.95,success,,2024-11-10 20:08:52
72,72,upi,407.22,success,,2024-12-16 21:21:29
73,73,card,487.85,success,,2024-12-04 13:05:58
74,74,wallet,279.96,success,,2024-08-27 19:23:48
75,75,wallet,493.85,success,,2024-07-13 20:37:55
76,76,wallet,515.1,success,,2024-07-15 20:27:21
77,77,upi,360.52,success,,2024-11-18 20:30:16
78,78,upi,258.04,success,,2024-07-11 19:05:47
79,79,upi,345.88,success,,2024-12-01 19:04:52
80,80,card,281.12,success,,2024-07-30 19:04:36
81,81,upi,398.76,success,,2024-12-27 20:01:46
82,82,cod,293.38,failed,bank_decline,2024-12-07 20:16:18
83,83,upi,334.41,success,,2024-06-27 20:38:16
84,84,wallet,293.11,success,,2024-12-04 19:53:51
85,85,upi,186.87,refunded,,2024-12-26 13:27:16
86,86,upi,283.46,success,,2024-09-02 19:14:09
87,87,upi,531.05,success,,2024-08-31 19:19:19
88,88,wallet,303.98,success,,2024-08-25 12:53:08
89,89,upi,298.08,success,,2024-10-01 12:18:42
90,90,upi,463.85,success,,2024-07-05 20:55:28
91,91,upi,386.51,success,,2024-08-16 12:53:55
92,92,card,376.84,success,,2024-12-06 19:54:10
93,93,upi,195.71,success,,2024-11-01 12:34:55
94,94,upi,435.1,refunded,,2024-11-27 19:16:11
95,95,card,262.6,success,,2024-10-31 12:54:58
96,96,card,254.26,success,,2024-12-02 20:01:47
97,97,upi,276.2,success,,2024-10-31 20:51:18
98,98,card,175.29,success,,2024-10-19 21:08:52
99,99,wallet,427.9,success,,2024-12-06 13:33:30
100,100,upi,397.9,success,,2024-11-21 13:08:48
101,101,upi,408.38,success,,2024-11-26 21:59:36
102,102,upi,314.52,success,,2024-11-20 20:21:39
103,103,upi,221.09,success,,2024-10-21 13:36:40
104,104,upi,472.8,success,,2024-06-24 12:09:30
105,105,upi,426.9,success,,2024-03-20 21:30:35
106,106,card,302.0,success,,2024-05-19 19:39:11
107,107,wallet,554.16,refunded,,2024-05-30 13:27:50
108,108,upi,435.62,success,,2024-09-17 19:52:33
109,109,upi,369.25,success,,2024-07-18 20:49:37
110,110,upi,144.43,success,,2024-11-07 20:41:29
111,111,upi,488.57,success,,2024-04-04 12:48:49
112,112,wallet,178.61,success,,2024-07-09 13:19:51
113,113,upi,285.71,success,,2024-05-25 20:26:44
114,114,upi,249.16,success,,2024-10-30 19:17:44
115,115,upi,309.79,success,,2024-02-28 19:48:08
116,116,wallet,178.6,success,,2024-10-28 13:53:48
117,117,upi,393.69,success,,2024-12-23 21:39:11
118,118,upi,397.66,success,,2024-10-19 20:57:58
119,119,card,422.9,success,,2024-06-26 13:12:42
120,120,card,202.79,success,,2024-08-20 19:01:33
121,121,upi,400.69,success,,2024-08-05 13:43:50
122,122,card,433.38,success,,2024-08-20 12:01:41
123,123,upi,561.57,success,,2024-08-28 20:50:20
124,124,upi,169.41,success,,2024-10-15 13:42:16
125,125,card,363.14,success,,2024-12-25 12:39:38
126,126,upi,352.77,success,,2024-10-23 12:09:07
127,127,wallet,303.92,success,,2024-11-16 20:34:38
128,128,upi,231.09,success,,2024-10-09 19:54:11
129,129,upi,461.81,success,,2024-10-20 20:18:32
130,130,card,528.21,success,,2024-09-05 19:31:54
131,131,wallet,249.94,success,,2024-09-13 20:23:35
132,132,wallet,577.38,success,,2024-10-01 20:33:32
133,133,wallet,269.36,success,,2024-12-27 20:13:16
134,134,card,402.85,success,,2024-11-30 19:53:40
135,135,upi,233.67,success,,2024-10-28 20:02:46
136,136,card,179.09,success,,2024-10-22 20:01:34
137,137,upi,107.17,success,,2024-12-19 20:11:09
138,138,wallet,384.38,success,,2024-12-08 21:38:53
139,139,cod,248.92,success,,2024-10-26 20:19:11
140,140,upi,389.83,success,,2024-10-06 20:33:47
141,141,upi,309.49,success,,2024-12-30 13:04:30
142,142,card,215.21,success,,2024-09-21 13:36:20
143,143,upi,364.78,success,,2024-09-01 20:13:48
144,144,wallet,141.43,success,,2024-08-29 12:22:28
145,145,upi,382.52,success,,2024-09-07 20:52:37
146,146,wallet,188.35,success,,2024-10-05 19:21:46
147,147,wallet,296.52,success,,2024-12-30 19:17:55
148,148,wallet,332.62,success,,2024-10-22 20:17:40
149,149,wallet,412.11,refunded,,2024-09-16 13:38:33
150,150,upi,162.42,success,,2024-10-14 21:44:16
151,151,upi,404.63,success,,2024-09-27 13:11:21
152,152,upi,419.96,success,,2024-09-19 19:25:22
153,153,wallet,410.97,success,,2024-07-04 20:25:13
154,154,card,407.3,refunded,,2024-08-13 13:26:57
155,155,upi,389.85,success,,2024-07-23 12:00:42
156,156,upi,534.0,success,,2024-10-11 20:53:50
157,157,card,382.5,success,,2024-12-30 21:45:45
158,158,wallet,424.28,success,,2024-12-12 19:48:45
159,159,card,342.99,success,,2024-12-25 19:34:08
160,160,upi,255.81,success,,2024-11-25 13:43:17
161,161,upi,366.11,success,,2024-11-18 12:58:44
162,162,upi,292.63,success,,2024-12-13 19:10:17
163,163,upi,221.5,success,,2024-11-12 19:18:44
164,164,upi,335.52,success,,2024-10-07 20:21:59
165,165,card,433.92,success,,2024-11-20 20:21:08
166,166,upi,303.54,success,,2024-11-29 21:58:14
167,167,upi,337.82,refunded,,2024-09-30 12:17:28
168,168,wallet,389.37,success,,2024-09-04 20:40:25
169,169,wallet,386.07,success,,2024-11-08 12:15:09
170,170,upi,319.9,success,,2024-12-07 19:20:55
171,171,upi,252.75,success,,2024-12-22 20:14:42
172,172,upi,440.46,refunded,,2024-12-13 13:08:48
173,173,card,333.3,success,,2024-12-23 19:04:07
174,174,card,429.18,success,,2024-09-24 20:34:49
175,175,wallet,408.85,success,,2024-10-29 19:08:52
176,176,upi,378.89,success,,2024-12-21 12:05:07
177,177,wallet,410.5,success,,2024-12-09 13:48:44
178,178,upi,264.67,success,,2024-12-05 13:33:31
179,179,upi,365.07,success,,2024-10-13 13:58:10
180,180,upi,479.67,success,,2024-09-28 12:09:44
181,181,card,448.97,success,,2024-10-02 19:06:33
182,182,upi,255.03,success,,2024-09-24 19:55:16
183,183,card,443.1,success,,2024-12-30 19:30:30
184,184,card,140.72,success,,2024-12-11 21:52:52
185,185,upi,308.55,success,,2024-10-08 12:56:18
186,186,card,369.09,success,,2024-11-16 20:58:52
187,187,upi,302.51,success,,2024-12-05 21:18:18
188,188,card,270.44,success,,2024-11-28 19:46:35
189,189,wallet,157.38,success,,2024-06-21 12:12:12
190,190,card,365.14,success,,2024-08-09 13:23:28
191,191,upi,355.33,success,,2024-05-13 20:16:25
192,192,upi,404.07,success,,2024-11-04 13:33:15
193,193,upi,245.21,success,,2024-12-07 13:18:24
194,194,cod,336.17,success,,2024-07-16 13:55:41
195,195,upi,318.41,success,,2024-10-22 20:51:44
196,196,card,423.66,success,,2024-07-15 21:09:58
197,197,upi,351.34,success,,2024-08-17 13:14:56
198,198,upi,237.67,success,,2024-07-09 20:24:58
199,199,wallet,89.92,success,,2024-12-29 21:28:22
200,200,wallet,362.88,success,,2024-12-18 12:19:09
201,201,wallet,188.64,success,,2024-12-28 12:48:30
202,202,card,188.37,success,,2024-10-13 20:52:07
203,203,card,473.53,refunded,,2024-10-17 13:43:14
204,204,cod,462.62,success,,2024-07-15 13:59:38
205,205,wallet,607.82,success,,2024-07-26 20:45:57
206,206,wallet,295.49,success,,2024-02-17 12:44:53
207,207,wallet,539.06,success,,2024-12-19 19:33:44
208,208,card,408.13,success,,2024-08-12 12:48:43
209,209,upi,368.38,success,,2024-07-07 20:36:52
210,210,wallet,276.25,success,,2024-05-21 12:31:46
211,211,upi,443.52,success,,2024-07-28 19:09:19
212,212,upi,543.31,success,,2024-11-01 19:15:49
213,213,upi,373.03,success,,2024-12-19 21:58:17
214,214,wallet,598.93,success,,2024-12-30 21:10:59
215,215,upi,584.94,success,,2024-07-16 19:51:08
216,216,card,294.12,success,,2024-12-20 19:17:27
217,217,upi,408.25,success,,2024-04-11 21:24:19
218,218,upi,560.47,failed,bank_decline,2024-08-05 13:24:19
219,219,upi,203.49,success,,2024-10-18 20:50:42
220,220,cod,244.98,success,,2024-02-22 20:33:34
221,221,card,510.41,success,,2024-07-24 12:58:24
222,222,wallet,249.39,success,,2024-05-10 13:36:56
223,223,upi,389.05,success,,2024-06-05 20:47:25
224,224,upi,479.04,success,,2024-05-24 20:34:19
225,225,card,349.11,refunded,,2024-09-21 20:09:41
226,226,card,670.31,success,,2024-10-10 21:03:08
227,227,card,259.4,refunded,,2024-12-18 13:01:18
228,228,upi,457.62,success,,2024-08-24 19:32:41
229,229,card,398.44,success,,2024-06-16 21:05:07
230,230,cod,623.67,success,,2024-12-14 20:40:50
231,231,upi,495.94,success,,2024-05-01 20:02:05
232,232,upi,595.51,success,,2024-12-12 19:38:38
233,233,card,482.69,success,,2024-03-30 19:55:34
234,234,upi,687.44,success,,2024-05-12 12:26:37
235,235,upi,232.21,success,,2024-07-18 20:15:56
236,236,wallet,374.53,success,,2024-09-10 19:59:20
237,237,upi,247.32,success,,2024-11-18 19:20:38
238,238,upi,402.33,success,,2024-09-05 12:00:57
239,239,card,139.67,success,,2024-10-31 20:51:24
240,240,card,230.76,success,,2024-09-02 20:21:39
241,241,card,316.83,success,,2024-08-01 21:58:46
242,242,wallet,423.2,success,,2024-10-26 21:23:47
243,243,upi,475.84,refunded,,2024-09-15 20:00:48
244,244,wallet,195.01,success,,2024-11-29 19:01:32
245,245,wallet,325.84,success,,2024-11-07 19:45:56
246,246,card,486.31,refunded,,2024-08-15 20:45:43
247,247,upi,365.35,success,,2024-09-05 19:19:19
248,248,card,423.44,success,,2024-08-21 19:35:56
249,249,upi,381.68,success,,2024-09-25 13:59:16
250,250,card,437.82,success,,2024-08-31 20:03:24
251,251,upi,446.08,success,,2024-07-14 19:57:44
252,252,upi,361.52,success,,2024-09-09 12:13:18
253,253,wallet,333.59,success,,2024-09-09 12:25:29
254,254,upi,274.04,success,,2024-12-12 19:38:38
255,255,card,426.62,success,,2024-12-19 19:49:38
256,256,wallet,407.51,success,,2024-11-15 20:38:54
257,257,wallet,297.75,success,,2024-06-29 19:15:27
258,258,wallet,220.2,success,,2024-07-01 13:43:22
259,259,card,438.8,success,,2024-09-17 13:56:52
260,260,upi,277.36,success,,2024-11-23 19:03:18
261,261,card,398.85,success,,2024-07-26 13:30:09
262,262,upi,152.16,success,,2024-06-17 19:18:36
263,263,card,546.23,success,,2024-06-11 20:11:49
264,264,upi,399.14,success,,2024-09-09 21:54:22
265,265,upi,340.11,success,,2024-05-08 19:51:43
266,266,wallet,315.3,success,,2024-10-25 20:06:12
267,267,card,409.93,success,,2024-10-22 19:35:58
268,268,upi,339.25,success,,2024-06-19 12:16:08
269,269,upi,426.95,refunded,,2024-04-08 12:04:46
270,270,upi,331.12,success,,2024-12-29 13:01:27
271,271,card,514.09,success,,2024-03-30 12:03:06
272,272,wallet,225.34,success,,2024-07-06 19:52:31
273,273,upi,268.93,success,,2024-11-26 19:02:37
274,274,upi,326.85,success,,2024-10-20 19:02:30
275,275,upi,306.86,success,,2024-11-05 20:14:52
276,276,wallet,151.74,success,,2024-12-10 20:27:50
277,277,card,457.4,success,,2024-12-10 21:39:30
278,278,wallet,359.34,refunded,,2024-12-12 20:42:06
279,279,upi,341.88,success,,2024-04-30 20:29:18
280,280,wallet,104.73,success,,2024-07-11 12:10:55
281,281,card,281.96,success,,2024-09-08 13:39:18
282,282,upi,371.88,success,,2024-02-28 21:52:46
283,283,upi,245.54,refunded,,2024-12-11 19:41:09
284,284,wallet,216.15,success,,2024-10-04 19:45:55
285,285,cod,358.23,refunded,,2024-07-25 19:07:43
286,286,card,437.95,success,,2024-05-14 12:01:39
287,287,card,331.62,success,,2024-05-07 21:04:12
288,288,upi,520.24,refunded,,2024-07-12 12:34:55
289,289,upi,336.78,success,,2024-08-04 12:17:42
290,290,upi,360.16,success,,2024-10-14 12:24:47
291,291,upi,265.9,success,,2024-11-02 20:48:20
292,292,upi,311.27,success,,2024-10-18 21:29:15
293,293,card,505.99,success,,2024-11-02 20:30:51
294,294,card,277.88,success,,2024-10-17 20:54:28
295,295,wallet,385.01,success,,2024-08-14 21:46:22
296,296,wallet,316.83,failed,bank_decline,2024-12-30 20:19:45
297,297,upi,248.21,success,,2024-12-30 12:10:57
298,298,upi,299.07,success,,2024-12-30 13:54:35
299,299,upi,277.37,failed,bank_decline,2024-11-23 13:16:10
300,300,upi,259.9,success,,2024-11-12 12:54:12
301,301,upi,347.9,success,,2024-11-15 12:45:13
302,302,upi,391.71,success,,2024-08-21 20:05:58
303,303,wallet,404.71,success,,2024-05-25 21:33:59
304,304,upi,238.0,success,,2024-04-15 13:35:46
305,305,upi,531.98,success,,2024-10-04 19:25:11
306,306,wallet,322.23,success,,2024-06-23 19:20:33
307,307,card,273.14,success,,2024-06-21 20:16:48
308,308,wallet,391.58,success,,2024-12-22 12:21:31
309,309,upi,300.11,refunded,,2024-08-13 20:02:25
310,310,wallet,205.84,success,,2024-07-03 12:13:20
311,311,upi,258.75,success,,2024-09-02 19:43:37
312,312,card,528.19,success,,2024-10-14 21:58:17
313,313,wallet,286.11,success,,2024-11-01 20:46:05
314,314,cod,351.75,success,,2024-05-16 20:49:19
315,315,wallet,329.78,success,,2024-11-28 19:11:15
316,316,card,242.26,success,,2024-08-23 13:57:33
317,317,upi,401.05,success,,2024-12-29 20:43:26
318,318,wallet,309.88,success,,2024-09-09 20:22:54
319,319,card,380.14,success,,2024-07-06 21:40:10
