traffic_id,city_id,date,hour,traffic_index
1,1,2024-01-01,12,10.0
2,1,2024-01-01,19,6.9
3,1,2024-01-02,12,10.0
4,1,2024-01-02,19,9.1
5,1,2024-01-03,12,8.44
6,1,2024-01-03,19,7.61
7,1,2024-01-04,12,9.76
8,1,2024-01-04,19,9.4
9,1,2024-01-05,12,8.45
10,1,2024-01-05,19,9.88
11,1,2024-01-06,12,6.98
12,1,2024-01-06,19,8.63
13,1,2024-01-07,12,5.44
14,1,2024-01-07,19,8.0
15,1,2024-01-08,12,8.81
16,1,2024-01-08,19,7.36
17,1,2024-01-09,12,9.27
18,1,2024-01-09,19,8.95
19,1,2024-01-10,12,7.08
20,1,2024-01-10,19,8.2
21,1,2024-01-11,12,8.59
22,1,2024-01-11,19,9.99
23,1,2024-01-12,12,10.0
24,1,2024-01-12,19,9.95
25,1,2024-01-13,12,8.67
26,1,2024-01-13,19,6.74
27,1,2024-01-14,12,5.18
28,1,2024-01-14,19,8.19
29,1,2024-01-15,12,9.34
30,1,2024-01-15,19,10.0
31,1,2024-01-16,12,7.99
32,1,2024-01-16,19,8.59
33,1,2024-01-17,12,7.05
34,1,2024-01-17,19,9.24
35,1,2024-01-18,12,8.65
36,1,2024-01-18,19,9.41
37,1,2024-01-19,12,10.0
38,1,2024-01-19,19,8.5
39,1,2024-01-20,12,5.43
40,1,2024-01-20,19,5.64
41,1,2024-01-21,12,6.6
42,1,2024-01-21,19,4.9
43,1,2024-01-22,12,8.86
44,1,2024-01-22,19,10.0
45,1,2024-01-23,12,8.86
46,1,2024-01-23,19,10.0
47,1,2024-01-24,12,8.5
48,1,2024-01-24,19,9.81
49,1,2024-01-25,12,8.71
50,1,2024-01-25,19,9.62
51,1,2024-01-26,12,9.42
52,1,2024-01-26,19,8.14
53,1,2024-01-27,12,6.11
54,1,2024-01-27,19,6.38
55,1,2024-01-28,12,7.99
56,1,2024-01-28,19,7.61
57,1,2024-01-29,12,9.03
58,1,2024-01-29,19,8.3
59,1,2024-01-30,12,10.0
60,1,2024-01-30,19,9.87
61,1,2024-01-31,12,10.0
62,1,2024-01-31,19,8.34
63,1,2024-02-01,12,10.0
64,1,2024-02-01,19,8.76
65,1,2024-02-02,12,8.93
66,1,2024-02-02,19,7.23
67,1,2024-02-03,12,7.49
68,1,2024-02-03,19,6.0
69,1,2024-02-04,12,7.14
70,1,2024-02-04,19,7.14
71,1,2024-02-05,12,9.05
72,1,2024-02-05,19,9.11
73,1,2024-02-06,12,10.0
74,1,2024-02-06,19,8.74
75,1,2024-02-07,12,8.46
76,1,2024-02-07,19,9.15
77,1,2024-02-08,12,10.0
78,1,2024-02-08,19,7.51
79,1,2024-02-09,12,10.0
80,1,2024-02-09,19,10.0
81,1,2024-02-10,12,6.16
82,1,2024-02-10,19,7.61
83,1,2024-02-11,12,5.93
84,1,2024-02-11,19,7.14
85,1,2024-02-12,12,10.0
86,1,2024-02-12,19,9.38
87,1,2024-02-13,12,10.0
88,1,2024-02-13,19,9.01
89,1,2024-02-14,12,10.0
90,1,2024-02-14,19,10.0
91,1,2024-02-15,12,9.31
92,1,2024-02-15,19,10.0
93,1,2024-02-16,12,9.94
94,1,2024-02-16,19,7.16
95,1,2024-02-17,12,8.18
96,1,2024-02-17,19,8.18
97,1,2024-02-18,12,7.4
98,1,2024-02-18,19,7.71
99,1,2024-02-19,12,9.81
100,1,2024-02-19,19,8.86
101,1,2024-02-20,12,9.51
102,1,2024-02-20,19,10.0
103,1,2024-02-21,12,10.0
104,1,2024-02-21,19,9.18
105,1,2024-02-22,12,9.16
106,1,2024-02-22,19,9.7
107,1,2024-02-23,12,10.0
108,1,2024-02-23,19,8.93
109,1,2024-02-24,12,6.78
110,1,2024-02-24,19,5.82
111,1,2024-02-25,12,6.7
112,1,2024-02-25,19,8.1
113,1,2024-02-26,12,7.31
114,1,2024-02-26,19,9.67
115,1,2024-02-27,12,9.51
116,1,2024-02-27,19,10.0
117,1,2024-02-28,12,9.71
118,1,2024-02-28,19,10.0
119,1,2024-02-29,12,9.08
120,1,2024-02-29,19,9.11
121,1,2024-03-01,12,10.0
122,1,2024-03-01,19,8.64
123,1,2024-03-02,12,7.2
124,1,2024-03-02,19,5.88
125,1,2024-03-03,12,4.9
126,1,2024-03-03,19,7.7
127,1,2024-03-04,12,9.08
128,1,2024-03-04,19,9.31
129,1,2024-03-05,12,9.41
130,1,2024-03-05,19,9.4
131,1,2024-03-06,12,9.54
132,1,2024-03-06,19,10.0
133,1,2024-03-07,12,10.0
134,1,2024-03-07,19,9.03
135,1,2024-03-08,12,9.07
136,1,2024-03-08,19,10.0
137,1,2024-03-09,12,6.84
138,1,2024-03-09,19,6.82
139,1,2024-03-10,12,8.21
140,1,2024-03-10,19,9.14
141,1,2024-03-11,12,9.33
142,1,2024-03-11,19,8.56
143,1,2024-03-12,12,8.8
144,1,2024-03-12,19,8.66
145,1,2024-03-13,12,8.25
146,1,2024-03-13,19,9.73
147,1,2024-03-14,12,10.0
148,1,2024-03-14,19,9.7
149,1,2024-03-15,12,9.43
150,1,2024-03-15,19,9.51
