user_id,signup_date,city_id,acquisition_channel,referred_by_user_id,is_premium_member,premium_start_date,age_band,gender,device_type,signup_channel_cost,is_churned,churned_at
1,2024-11-08,2,paid_social,,False,,18-24,female,iOS,199.36,False,
2,2024-11-11,4,organic,,False,,25-34,female,Android,,False,
3,2024-11-20,8,paid_social,,False,,18-24,female,Android,165.27,False,
4,2024-11-05,1,paid_social,,False,,35-44,male,Android,205.42,False,
5,2024-02-25,2,organic,,False,,35-44,female,Android,,False,
6,2024-07-20,2,paid_social,,False,,25-34,male,Android,163.23,False,
7,2024-08-10,5,paid_search,,False,,35-44,female,Android,233.22,False,
8,2024-06-22,2,referral,6,False,,18-24,female,Android,53.52,False,
9,2024-10-22,4,paid_search,,False,,18-24,male,Android,217.29,False,
10,2024-08-20,3,paid_social,,False,,25-34,female,Android,194.31,False,
11,2024-02-15,4,paid_social,,False,,35-44,male,Android,164.59,False,
12,2024-06-19,2,organic,,False,,25-34,female,Android,,False,
13,2024-07-31,2,paid_search,,True,2024-08-20,35-44,male,Android,198.02,False,
14,2024-08-29,3,organic,,False,,25-34,male,Android,,False,
15,2024-10-03,8,paid_social,,False,,45+,female,Android,157.73,False,
16,2024-06-13,2,push_reactivation,,False,,25-34,male,Android,43.35,False,
17,2024-12-09,2,paid_social,,False,,25-34,male,iOS,163.93,False,
18,2024-11-05,6,referral,4,False,,25-34,female,Android,58.78,False,
19,2024-08-03,6,organic,,False,,25-34,male,Android,,False,
20,2024-09-22,2,organic,,False,,25-34,male,Android,,False,
21,2024-02-07,3,push_reactivation,,False,,18-24,male,Android,39.79,False,
22,2024-12-17,2,paid_social,,False,,25-34,male,Android,178.57,False,
23,2024-02-06,1,paid_search,,True,2024-03-11,25-34,male,Android,246.15,False,
24,2024-06-19,2,referral,19,False,,18-24,female,Android,64.09,False,
25,2024-02-20,3,paid_social,,False,,35-44,male,iOS,173.03,False,
26,2024-06-23,7,paid_social,,False,,18-24,male,Android,166.82,False,
27,2024-12-29,7,paid_search,,False,,35-44,male,Android,236.41,False,
28,2024-11-08,2,referral,21,True,2024-12-19,18-24,female,Android,57.73,False,
29,2024-04-13,3,paid_search,,False,,25-34,female,Android,197.12,False,
30,2024-06-29,7,paid_search,,False,,18-24,male,Android,251.14,False,
31,2024-04-18,3,referral,27,False,,25-34,female,Android,53.19,False,
32,2024-11-16,2,referral,10,False,,18-24,female,Android,64.3,False,
33,2024-06-26,1,paid_social,,False,,18-24,female,Android,188.79,False,
34,2024-09-13,2,referral,30,True,2024-12-05,25-34,female,Android,52.91,False,
35,2024-12-16,3,paid_search,,False,,18-24,male,iOS,217.85,False,
36,2024-11-14,1,organic,,False,,25-34,female,Android,,False,
37,2024-08-02,2,paid_social,,False,,35-44,male,Android,176.0,False,
38,2024-06-02,2,referral,2,True,2024-12-07,25-34,male,iOS,65.7,False,
39,2024-06-29,1,organic,,False,,18-24,male,Android,,False,
40,2024-04-09,2,organic,,True,2024-05-01,18-24,male,Android,,False,
41,2024-10-16,10,paid_social,,False,,35-44,female,Android,170.17,False,
42,2024-05-11,2,organic,,False,,25-34,male,Android,,False,
43,2024-07-21,2,paid_social,,False,,18-24,female,Android,158.49,False,
44,2024-11-25,2,paid_search,,False,,35-44,female,iOS,251.65,False,
45,2024-04-19,1,paid_social,,False,,25-34,male,Android,180.77,False,
46,2024-06-14,9,organic,,False,,25-34,male,Android,,False,
47,2024-07-18,2,organic,,False,,25-34,male,iOS,,False,
48,2024-12-12,4,paid_social,,False,,35-44,female,iOS,170.73,False,
49,2024-09-07,2,referral,38,False,,18-24,female,iOS,56.19,False,
50,2024-04-18,1,referral,28,False,,18-24,female,Android,52.71,False,
51,2024-12-21,8,paid_search,,False,,35-44,female,Android,226.18,False,
52,2024-09-22,2,organic,,False,,18-24,female,Android,,False,
53,2024-08-18,2,paid_social,,False,,25-34,female,iOS,194.25,False,
54,2024-04-12,1,organic,,True,2024-08-21,25-34,female,Android,,False,
55,2024-07-07,2,paid_search,,False,,25-34,male,Android,237.33,False,
56,2024-04-25,2,paid_search,,False,,35-44,female,iOS,215.9,False,
57,2024-11-10,10,paid_social,,False,,35-44,female,Android,173.32,False,
58,2024-11-27,5,referral,57,False,,25-34,male,Android,53.19,False,
59,2024-11-21,3,organic,,False,,25-34,male,iOS,,False,
60,2024-11-10,8,organic,,False,,35-44,male,iOS,,False,
61,2024-04-05,1,push_reactivation,,False,,18-24,female,Android,41.99,False,
62,2024-06-04,4,organic,,False,,18-24,female,Android,,False,
63,2024-02-19,5,organic,,True,2024-09-16,25-34,female,Android,,False,
64,2024-11-26,6,organic,,False,,45+,female,Android,,False,
65,2024-11-24,1,organic,,False,,18-24,male,iOS,,False,
66,2024-10-03,2,paid_search,,False,,18-24,male,Android,197.24,False,
67,2024-12-26,3,referral,42,False,,18-24,female,Android,51.98,False,
68,2024-05-07,10,organic,,True,2024-08-08,25-34,female,Android,,False,
69,2024-09-18,3,organic,,False,,25-34,female,Android,,False,
70,2024-10-08,2,paid_search,,False,,25-34,male,Android,196.8,False,
71,2024-04-19,2,organic,,False,,25-34,female,Android,,False,
72,2024-08-02,2,paid_social,,False,,25-34,male,Android,164.75,False,
73,2024-08-21,5,organic,,False,,25-34,female,Android,,False,
74,2024-10-09,7,organic,,False,,25-34,male,Android,,False,
75,2024-07-16,4,paid_social,,False,,45+,male,Android,192.78,False,
76,2024-11-15,1,organic,,False,,25-34,male,Android,,False,
77,2024-11-25,2,organic,,False,,25-34,male,Android,,False,
78,2024-11-01,2,organic,,False,,35-44,male,Android,,False,
79,2024-09-25,2,organic,,False,,45+,other,iOS,,False,
80,2024-06-30,8,referral,10,False,,25-34,male,Android,63.7,False,
81,2024-09-04,5,organic,,False,,35-44,other,Android,,False,
82,2024-11-24,5,push_reactivation,,False,,25-34,male,iOS,35.7,False,
83,2024-08-09,6,paid_social,,False,,45+,male,Android,161.14,False,
84,2024-06-23,3,paid_social,,False,,18-24,male,iOS,184.67,False,
85,2024-10-05,10,referral,34,False,,18-24,male,Android,63.06,False,
86,2024-07-09,8,paid_search,,False,,35-44,male,iOS,218.85,False,
87,2024-09-22,8,paid_search,,False,,25-34,male,Android,209.48,False,
88,2024-12-12,4,referral,42,False,,18-24,male,iOS,54.2,False,
89,2024-08-13,4,organic,,False,,18-24,male,Android,,False,
90,2024-10-04,2,push_reactivation,,False,,35-44,female,iOS,41.44,False,
91,2024-12-22,3,paid_search,,False,,35-44,male,Android,244.21,False,
92,2024-10-09,4,push_reactivation,,False,,35-44,female,Android,45.81,False,
93,2024-04-14,5,organic,,False,,25-34,other,Android,,False,
94,2024-12-26,9,paid_social,,False,,25-34,female,iOS,195.86,False,
95,2024-11-20,5,organic,,False,,18-24,male,Android,,False,
96,2024-10-25,9,paid_search,,False,,35-44,male,Android,244.12,False,
