weather_id,city_id,date,hour,condition,temperature_c
1,1,2024-01-01,12,clear,38.4
2,1,2024-01-01,19,clear,21.2
3,1,2024-01-02,12,clear,29.1
4,1,2024-01-02,19,clear,28.5
5,1,2024-01-03,12,clear,30.4
6,1,2024-01-03,19,clear,29.6
7,1,2024-01-04,12,clear,29.2
8,1,2024-01-04,19,clear,27.6
9,1,2024-01-05,12,clear,31.7
10,1,2024-01-05,19,clear,32.4
11,1,2024-01-06,12,clear,34.0
12,1,2024-01-06,19,clear,37.3
13,1,2024-01-07,12,clear,32.0
14,1,2024-01-07,19,clear,37.2
15,1,2024-01-08,12,clear,32.7
16,1,2024-01-08,19,clear,29.5
17,1,2024-01-09,12,clear,41.4
18,1,2024-01-09,19,clear,30.0
19,1,2024-01-10,12,clear,28.0
20,1,2024-01-10,19,clear,38.1
21,1,2024-01-11,12,clear,37.5
22,1,2024-01-11,19,rain,51.6
23,1,2024-01-12,12,clear,34.4
24,1,2024-01-12,19,clear,21.3
25,1,2024-01-13,12,clear,28.5
26,1,2024-01-13,19,clear,33.9
27,1,2024-01-14,12,clear,29.1
28,1,2024-01-14,19,clear,33.2
29,1,2024-01-15,12,clear,28.7
30,1,2024-01-15,19,clear,23.1
31,1,2024-01-16,12,clear,20.3
32,1,2024-01-16,19,clear,28.7
33,1,2024-01-17,12,clear,31.7
34,1,2024-01-17,19,clear,35.9
35,1,2024-01-18,12,clear,39.5
36,1,2024-01-18,19,clear,31.7
37,1,2024-01-19,12,clear,30.4
38,1,2024-01-19,19,clear,29.6
39,1,2024-01-20,12,clear,34.8
40,1,2024-01-20,19,clear,29.8
41,1,2024-01-21,12,clear,26.0
42,1,2024-01-21,19,rain,28.8
43,1,2024-01-22,12,clear,25.9
44,1,2024-01-22,19,clear,30.2
45,1,2024-01-23,12,clear,36.5
46,1,2024-01-23,19,clear,31.8
47,1,2024-01-24,12,clear,33.9
48,1,2024-01-24,19,clear,28.2
49,1,2024-01-25,12,heatwave,25.3
50,1,2024-01-25,19,clear,25.3
51,1,2024-01-26,12,clear,33.3
52,1,2024-01-26,19,clear,30.6
53,1,2024-01-27,12,clear,30.1
54,1,2024-01-27,19,clear,28.5
55,1,2024-01-28,12,clear,25.5
56,1,2024-01-28,19,clear,30.7
57,1,2024-01-29,12,clear,22.5
58,1,2024-01-29,19,clear,19.8
59,1,2024-01-30,12,clear,24.7
60,1,2024-01-30,19,clear,34.8
61,1,2024-01-31,12,clear,30.1
62,1,2024-01-31,19,clear,29.7
63,1,2024-02-01,12,clear,32.1
64,1,2024-02-01,19,clear,27.4
65,1,2024-02-02,12,heatwave,31.8
66,1,2024-02-02,19,clear,30.2
67,1,2024-02-03,12,clear,30.4
68,1,2024-02-03,19,clear,29.6
69,1,2024-02-04,12,clear,26.7
70,1,2024-02-04,19,heatwave,20.1
71,1,2024-02-05,12,clear,25.3
72,1,2024-02-05,19,heatwave,30.2
73,1,2024-02-06,12,rain,29.8
74,1,2024-02-06,19,clear,29.9
75,1,2024-02-07,12,clear,33.2
76,1,2024-02-07,19,clear,43.9
77,1,2024-02-08,12,heatwave,33.3
78,1,2024-02-08,19,clear,39.5
79,1,2024-02-09,12,heatwave,31.5
80,1,2024-02-09,19,clear,32.2
81,1,2024-02-10,12,clear,26.9
82,1,2024-02-10,19,clear,32.3
83,1,2024-02-11,12,clear,33.2
84,1,2024-02-11,19,clear,30.6
85,1,2024-02-12,12,clear,24.9
86,1,2024-02-12,19,clear,35.5
87,1,2024-02-13,12,heavy_rain,23.4
88,1,2024-02-13,19,clear,30.4
89,1,2024-02-14,12,clear,35.4
90,1,2024-02-14,19,clear,29.7
91,1,2024-02-15,12,clear,31.1
92,1,2024-02-15,19,clear,20.9
93,1,2024-02-16,12,clear,24.2
94,1,2024-02-16,19,clear,30.4
95,1,2024-02-17,12,clear,27.6
96,1,2024-02-17,19,clear,38.5
97,1,2024-02-18,12,clear,31.9
98,1,2024-02-18,19,heatwave,35.7
99,1,2024-02-19,12,clear,18.6
100,1,2024-02-19,19,heatwave,29.9
101,1,2024-02-20,12,heatwave,22.8
102,1,2024-02-20,19,clear,28.8
103,1,2024-02-21,12,clear,28.3
104,1,2024-02-21,19,clear,30.3
105,1,2024-02-22,12,clear,19.7
106,1,2024-02-22,19,clear,25.0
107,1,2024-02-23,12,clear,32.3
108,1,2024-02-23,19,clear,35.6
109,1,2024-02-24,12,clear,32.4
110,1,2024-02-24,19,clear,31.4
111,1,2024-02-25,12,clear,27.5
112,1,2024-02-25,19,clear,33.7
113,1,2024-02-26,12,clear,28.9
114,1,2024-02-26,19,clear,25.3
115,1,2024-02-27,12,clear,25.5
116,1,2024-02-27,19,clear,17.3
117,1,2024-02-28,12,clear,28.8
118,1,2024-02-28,19,clear,22.0
119,1,2024-02-29,12,clear,34.7
120,1,2024-02-29,19,heatwave,23.1
121,1,2024-03-01,12,clear,26.9
122,1,2024-03-01,19,clear,31.0
123,1,2024-03-02,12,clear,39.7
124,1,2024-03-02,19,clear,33.5
125,1,2024-03-03,12,clear,29.2
126,1,2024-03-03,19,clear,25.3
127,1,2024-03-04,12,clear,40.2
128,1,2024-03-04,19,heatwave,29.1
129,1,2024-03-05,12,heavy_rain,25.4
130,1,2024-03-05,19,clear,32.0
131,1,2024-03-06,12,clear,34.2
132,1,2024-03-06,19,clear,32.0
133,1,2024-03-07,12,clear,28.4
134,1,2024-03-07,19,clear,23.0
135,1,2024-03-08,12,rain,31.9
136,1,2024-03-08,19,rain,35.1
137,1,2024-03-09,12,rain,35.4
138,1,2024-03-09,19,clear,24.1
139,1,2024-03-10,12,clear,29.0
140,1,2024-03-10,19,clear,25.6
141,1,2024-03-11,12,clear,39.2
142,1,2024-03-11,19,clear,30.0
143,1,2024-03-12,12,clear,26.5
144,1,2024-03-12,19,clear,26.3
145,1,2024-03-13,12,clear,29.1
146,1,2024-03-13,19,clear,29.2
147,1,2024-03-14,12,clear,40.1
148,1,2024-03-14,19,heavy_rain,24.6
149,1,2024-03-15,12,clear,30.7
150,1,2024-03-15,19,clear,20.7
151,1,2024-03-16,12,rain,29.8
152,1,2024-03-16,19,heatwave,27.5
153,1,2024-03-17,12,clear,19.9
154,1,2024-03-17,19,clear,30.7
155,1,2024-03-18,12,clear,25.5
156,1,2024-03-18,19,clear,19.1
157,1,2024-03-19,12,clear,27.9
158,1,2024-03-19,19,clear,33.0
159,1,2024-03-20,12,clear,36.4
160,1,2024-03-20,19,clear,30.2
161,1,2024-03-21,12,clear,36.8
162,1,2024-03-21,19,clear,37.0
163,1,2024-03-22,12,clear,19.3
164,1,2024-03-22,19,clear,33.3
165,1,2024-03-23,12,clear,28.2
166,1,2024-03-23,19,clear,32.3
167,1,2024-03-24,12,heatwave,29.4
168,1,2024-03-24,19,clear,37.6
169,1,2024-03-25,12,clear,24.6
170,1,2024-03-25,19,clear,28.6
171,1,2024-03-26,12,clear,39.6
172,1,2024-03-26,19,clear,23.4
173,1,2024-03-27,12,clear,22.7
174,1,2024-03-27,19,clear,17.0
175,1,2024-03-28,12,clear,26.7
176,1,2024-03-28,19,clear,26.7
