partner_id,city_id,joined_date,vehicle_type,avg_rating,is_active,shift_type
1,8,2024-05-16,bike,4.1,True,part_time
2,3,2024-05-27,scooter,4.1,True,full_time
3,6,2024-03-19,scooter,4.3,True,full_time
4,6,2024-08-29,scooter,4.8,True,full_time
5,8,2024-05-09,scooter,4.9,True,part_time
6,10,2024-11-29,bike,4.2,True,part_time
7,6,2024-12-05,scooter,4.3,True,peak_hours_only
8,3,2024-04-05,bike,4.7,True,part_time
9,1,2024-05-19,bike,4.0,True,full_time
10,7,2024-12-05,bike,4.5,False,full_time
11,3,2024-09-08,bike,4.2,True,full_time
12,8,2024-10-29,bike,4.1,True,peak_hours_only
13,9,2024-10-20,bike,4.5,True,peak_hours_only
14,7,2024-08-07,scooter,4.2,True,peak_hours_only
15,3,2024-04-08,scooter,4.6,True,full_time
16,9,2024-05-11,scooter,3.6,True,full_time
17,4,2024-03-26,bike,4.3,True,full_time
18,10,2024-07-27,scooter,4.1,True,full_time
19,1,2024-11-14,scooter,4.1,True,peak_hours_only
20,7,2024-12-01,bike,4.2,True,part_time
21,8,2024-01-10,scooter,4.6,True,part_time
22,2,2024-01-18,scooter,4.1,True,part_time
23,4,2024-01-22,bike,4.2,True,part_time
24,4,2024-12-28,bike,4.5,True,part_time
25,8,2024-05-02,bike,4.5,True,part_time
26,10,2024-01-04,bike,4.0,True,part_time
27,9,2024-10-12,scooter,4.7,True,full_time
28,2,2024-04-10,scooter,3.6,True,part_time
29,2,2024-07-07,bike,4.6,True,peak_hours_only
30,4,2024-11-09,bike,4.7,True,full_time
31,3,2024-10-31,scooter,5.0,True,peak_hours_only
32,1,2024-08-15,scooter,4.0,True,peak_hours_only
33,6,2024-10-16,bike,4.7,True,full_time
34,10,2024-06-13,scooter,4.3,True,peak_hours_only
35,9,2024-06-04,bike,4.5,True,full_time
36,5,2024-02-12,bike,4.2,True,peak_hours_only
37,9,2024-12-26,scooter,4.4,True,peak_hours_only
38,4,2024-09-09,scooter,4.1,True,full_time
39,9,2024-10-30,scooter,4.3,True,part_time
40,2,2024-10-24,bicycle,5.0,False,full_time
41,2,2024-01-10,bike,4.3,True,peak_hours_only
42,4,2024-03-20,scooter,4.1,True,peak_hours_only
43,2,2024-08-15,bike,4.7,True,full_time
44,7,2024-10-22,bike,4.1,False,part_time
45,5,2024-10-08,bike,4.5,True,peak_hours_only
46,5,2024-08-24,scooter,4.6,True,peak_hours_only
47,1,2024-12-03,bike,4.5,True,part_time
48,10,2024-03-22,scooter,4.9,True,full_time
49,6,2024-11-11,bike,4.7,True,full_time
50,10,2024-06-11,bike,3.9,True,full_time
51,4,2024-09-04,bike,4.6,True,part_time
52,5,2024-06-13,scooter,4.0,True,full_time
53,6,2024-06-30,scooter,4.2,True,full_time
54,9,2024-05-30,scooter,4.2,True,part_time
55,3,2024-02-24,bike,4.2,True,part_time
56,4,2024-06-29,bike,4.5,True,part_time
57,9,2024-03-15,bike,4.9,True,part_time
58,1,2024-06-26,bike,3.9,True,full_time
59,6,2024-07-22,bicycle,4.6,True,full_time
60,4,2024-01-26,scooter,4.1,True,part_time
61,10,2024-06-11,scooter,4.3,True,peak_hours_only
62,10,2024-04-21,bike,4.3,True,part_time
