restaurant_id,restaurant_name,city_id,category_id,onboarded_date,avg_rating,avg_prep_time_minutes,acceptance_rate,price_tier,is_active
1,Restaurant_1,2,6,2024-05-10,4.1,8,0.799,mid,True
2,Restaurant_2,7,3,2024-07-17,4.0,13,0.843,mid,True
3,Restaurant_3,1,1,2024-05-21,3.7,24,0.786,budget,True
4,Restaurant_4,6,9,2024-09-17,4.1,31,0.967,budget,False
5,Restaurant_5,7,6,2024-10-02,3.6,12,0.98,mid,True
6,Restaurant_6,7,2,2024-03-12,4.0,10,0.822,mid,True
7,Restaurant_7,10,11,2024-02-24,4.8,21,0.812,budget,True
8,Restaurant_8,8,9,2024-02-14,4.3,19,0.925,mid,True
9,Restaurant_9,5,10,2024-05-21,4.3,18,0.893,mid,True
10,Restaurant_10,5,4,2024-01-16,3.8,13,0.937,mid,True
11,Restaurant_11,10,11,2024-08-10,4.0,18,0.933,mid,True
12,Restaurant_12,6,12,2024-12-09,4.2,12,0.876,mid,True
13,Restaurant_13,1,11,2024-04-10,4.5,19,0.764,budget,True
14,Restaurant_14,7,2,2024-09-01,4.3,18,0.823,mid,True
15,Restaurant_15,2,1,2024-03-07,3.8,22,0.892,premium,True
16,Restaurant_16,8,5,2024-02-03,3.8,18,0.956,budget,True
17,Restaurant_17,9,4,2024-06-08,3.9,25,0.875,mid,True
18,Restaurant_18,2,12,2024-03-06,4.3,9,0.818,mid,True
19,Restaurant_19,8,5,2024-07-20,4.0,8,0.91,budget,True
20,Restaurant_20,3,8,2024-09-17,4.1,32,0.927,mid,True
21,Restaurant_21,9,1,2024-03-22,4.0,33,0.99,budget,True
22,Restaurant_22,8,7,2024-10-31,3.9,16,0.948,mid,True
23,Restaurant_23,10,11,2024-08-03,4.5,32,0.958,mid,True
24,Restaurant_24,10,3,2024-11-18,3.9,31,0.851,premium,True
25,Restaurant_25,8,12,2024-11-14,3.7,20,0.809,mid,True
26,Restaurant_26,2,11,2024-07-21,4.7,17,0.776,budget,True
27,Restaurant_27,8,6,2024-11-25,4.4,20,0.99,mid,True
28,Restaurant_28,9,10,2024-08-31,3.7,11,0.834,mid,True
29,Restaurant_29,6,4,2024-02-13,3.9,22,0.942,budget,True
30,Restaurant_30,8,5,2024-08-30,3.6,17,0.749,budget,True
31,Restaurant_31,8,2,2024-01-07,3.6,21,0.887,budget,True
32,Restaurant_32,10,6,2024-11-09,4.5,24,0.824,mid,True
33,Restaurant_33,4,4,2024-08-08,4.3,28,0.937,budget,True
34,Restaurant_34,8,12,2024-11-06,4.6,18,0.919,mid,True
35,Restaurant_35,5,7,2024-03-23,4.2,20,0.906,budget,True
36,Restaurant_36,5,5,2024-09-27,3.5,19,0.954,premium,True
37,Restaurant_37,2,12,2024-12-13,3.1,35,0.833,mid,True
38,Restaurant_38,8,12,2024-07-23,4.1,22,0.905,mid,True
39,Restaurant_39,1,9,2024-06-23,4.2,34,0.814,mid,True
40,Restaurant_40,2,11,2024-11-28,4.3,24,0.713,budget,True
41,Restaurant_41,1,11,2024-04-07,4.9,31,0.882,mid,True
42,Restaurant_42,4,8,2024-07-06,4.7,36,0.877,mid,True
43,Restaurant_43,8,6,2024-03-31,4.2,17,0.816,mid,True
44,Restaurant_44,4,7,2024-05-10,4.0,13,0.98,budget,True
45,Restaurant_45,3,12,2024-12-17,3.5,23,0.853,mid,True
46,Restaurant_46,6,2,2024-12-22,4.0,15,0.947,mid,True
47,Restaurant_47,4,4,2024-04-19,4.5,27,0.845,budget,True
48,Restaurant_48,4,10,2024-03-06,4.4,28,0.984,budget,True
49,Restaurant_49,3,3,2024-10-19,4.0,19,0.822,mid,True
50,Restaurant_50,8,9,2024-09-07,4.0,19,0.883,mid,True
51,Restaurant_51,3,12,2024-02-19,3.6,20,0.925,premium,True
52,Restaurant_52,7,5,2024-09-08,4.5,24,0.99,mid,True
53,Restaurant_53,1,12,2024-05-14,4.0,15,0.99,mid,True
54,Restaurant_54,1,7,2024-02-28,3.8,33,0.888,budget,True
55,Restaurant_55,4,4,2024-09-06,4.2,35,0.865,budget,True
56,Restaurant_56,8,10,2024-02-22,3.5,8,0.82,budget,True
57,Restaurant_57,9,3,2024-05-05,3.6,32,0.855,premium,True
58,Restaurant_58,4,1,2024-06-23,4.5,28,0.763,mid,True
59,Restaurant_59,4,2,2024-05-10,3.7,19,0.989,budget,True
60,Restaurant_60,8,2,2024-02-24,3.8,20,0.99,mid,True
61,Restaurant_61,6,4,2024-09-09,4.4,33,0.784,premium,True
62,Restaurant_62,10,11,2024-09-03,4.2,18,0.915,budget,True
63,Restaurant_63,7,3,2024-01-15,4.1,18,0.838,budget,True
64,Restaurant_64,7,10,2024-10-02,4.3,15,0.915,budget,True
65,Restaurant_65,8,12,2024-11-17,4.0,17,0.839,budget,True
66,Restaurant_66,3,6,2024-02-11,4.6,20,0.882,mid,True
67,Restaurant_67,6,5,2024-08-13,4.5,22,0.943,mid,True
68,Restaurant_68,3,9,2024-06-01,3.8,21,0.99,mid,True
69,Restaurant_69,7,8,2024-10-19,3.4,18,0.894,budget,True
70,Restaurant_70,6,1,2024-03-04,4.2,14,0.922,mid,True
71,Restaurant_71,2,10,2024-09-12,4.3,16,0.941,budget,True
72,Restaurant_72,3,9,2024-09-24,4.6,24,0.922,premium,True
73,Restaurant_73,8,2,2024-01-11,4.3,10,0.847,mid,True
74,Restaurant_74,7,11,2024-02-25,4.0,9,0.746,budget,True
75,Restaurant_75,4,1,2024-02-09,3.6,22,0.99,mid,True
76,Restaurant_76,9,8,2024-07-28,4.0,25,0.99,mid,True
77,Restaurant_77,3,9,2024-04-21,4.4,28,0.928,mid,True
78,Restaurant_78,1,4,2024-05-25,4.0,20,0.919,budget,True
79,Restaurant_79,7,10,2024-07-18,3.4,14,0.849,mid,True
80,Restaurant_80,10,9,2024-11-12,3.7,24,0.968,budget,True
81,Restaurant_81,6,6,2024-07-19,4.4,23,0.84,premium,True
82,Restaurant_82,7,4,2024-09-15,4.0,10,0.838,budget,True
83,Restaurant_83,6,11,2024-02-10,4.0,22,0.971,budget,True
84,Restaurant_84,5,2,2024-06-05,4.4,27,0.864,budget,True
85,Restaurant_85,10,1,2024-10-20,3.5,22,0.898,mid,True
86,Restaurant_86,2,5,2024-03-05,4.4,25,0.99,budget,True
87,Restaurant_87,8,1,2024-04-27,4.3,31,0.907,budget,True
88,Restaurant_88,3,2,2024-04-10,4.0,29,0.784,premium,True
89,Restaurant_89,7,7,2024-05-08,3.6,29,0.882,premium,True
90,Restaurant_90,4,10,2024-03-17,3.6,13,0.99,budget,True
91,Restaurant_91,3,10,2024-12-11,4.0,17,0.925,budget,True
92,Restaurant_92,10,8,2024-02-28,4.5,26,0.816,mid,True
93,Restaurant_93,9,8,2024-12-19,4.3,22,0.981,budget,True
94,Restaurant_94,6,1,2024-02-06,3.8,23,0.944,mid,True
95,Restaurant_95,1,3,2024-02-02,4.0,11,0.876,premium,True
96,Restaurant_96,8,12,2024-07-11,3.6,27,0.814,mid,True
97,Restaurant_97,6,10,2024-10-09,4.0,19,0.937,budget,True
98,Restaurant_98,4,10,2024-10-31,3.9,14,0.99,mid,True
99,Restaurant_99,3,7,2024-05-14,3.8,19,0.986,budget,True
100,Restaurant_100,1,6,2024-09-05,4.3,16,0.792,budget,True
101,Restaurant_101,6,7,2024-07-20,3.1,15,0.896,budget,True
102,Restaurant_102,10,3,2024-02-15,4.0,26,0.829,mid,True
103,Restaurant_103,4,2,2024-12-24,4.4,20,0.886,budget,True
104,Restaurant_104,10,10,2024-03-24,4.3,29,0.911,mid,True
105,Restaurant_105,3,10,2024-12-17,3.7,21,0.902,budget,True
106,Restaurant_106,4,7,2024-09-25,4.8,21,0.938,mid,True
107,Restaurant_107,6,3,2024-11-27,5.0,10,0.99,budget,True
108,Restaurant_108,10,8,2024-02-10,5.0,15,0.875,mid,True
109,Restaurant_109,5,9,2024-09-17,4.4,39,0.859,premium,True
110,Restaurant_110,9,1,2024-02-18,3.8,34,0.897,mid,True
111,Restaurant_111,7,11,2024-06-01,4.1,32,0.883,mid,True
112,Restaurant_112,10,3,2024-05-26,3.4,27,0.863,budget,True
113,Restaurant_113,3,5,2024-04-03,4.2,21,0.815,premium,True
114,Restaurant_114,2,4,2024-06-23,4.0,29,0.82,premium,True
115,Restaurant_115,10,1,2024-10-29,4.7,23,0.853,mid,True
116,Restaurant_116,10,10,2024-03-20,3.6,18,0.869,mid,True
117,Restaurant_117,6,7,2024-05-07,3.7,13,0.797,budget,True
118,Restaurant_118,4,9,2024-06-13,4.4,29,0.873,mid,True
119,Restaurant_119,8,1,2024-11-23,4.1,23,0.911,mid,True
120,Restaurant_120,4,12,2024-10-19,4.1,31,0.921,mid,True
121,Restaurant_121,6,9,2024-02-18,3.9,21,0.773,premium,True
122,Restaurant_122,8,7,2024-05-16,4.7,17,0.935,budget,True
123,Restaurant_123,3,2,2024-04-19,3.7,23,0.95,mid,True
124,Restaurant_124,6,8,2024-04-13,4.1,21,0.9,budget,True
125,Restaurant_125,8,1,2024-04-09,3.9,21,0.881,premium,True
126,Restaurant_126,5,12,2024-09-23,4.8,24,0.885,budget,True
127,Restaurant_127,10,9,2024-04-29,3.7,27,0.809,budget,True
128,Restaurant_128,1,12,2024-06-16,4.0,8,0.903,budget,True
129,Restaurant_129,5,8,2024-04-15,4.7,21,0.847,mid,True
130,Restaurant_130,1,1,2024-11-01,4.2,12,0.826,mid,True
131,Restaurant_131,2,4,2024-09-10,3.7,24,0.838,premium,True
132,Restaurant_132,5,6,2024-12-07,3.9,20,0.845,mid,True
133,Restaurant_133,6,9,2024-02-07,4.0,21,0.933,mid,True
134,Restaurant_134,1,11,2024-11-27,3.8,23,0.887,premium,True
135,Restaurant_135,4,2,2024-11-26,4.0,19,0.971,budget,True
136,Restaurant_136,7,5,2024-01-06,3.7,17,0.895,budget,True
137,Restaurant_137,4,3,2024-03-02,4.0,14,0.74,budget,True
138,Restaurant_138,10,9,2024-12-20,4.1,23,0.922,budget,True
139,Restaurant_139,2,10,2024-06-05,4.6,18,0.809,budget,True
140,Restaurant_140,7,6,2024-03-12,4.5,17,0.922,budget,True
141,Restaurant_141,4,4,2024-10-04,4.8,25,0.728,mid,True
142,Restaurant_142,7,6,2024-07-17,4.0,14,0.953,mid,True
143,Restaurant_143,4,10,2024-07-06,3.8,28,0.939,budget,True
144,Restaurant_144,10,3,2024-11-11,4.0,16,0.779,budget,True
145,Restaurant_145,10,11,2024-05-23,4.2,13,0.97,mid,True
146,Restaurant_146,9,3,2024-07-31,4.4,33,0.811,budget,True
147,Restaurant_147,2,5,2024-05-22,3.6,30,0.819,budget,True
148,Restaurant_148,8,5,2024-12-13,4.0,30,0.99,mid,True
